"","V1","Participant","Condition","Congruity","Reaction_time","Response","Correctness","Cue","Finger"
"182",21,"11","II","No",0.48388504982,"lalt",1,"Middle","Index"
"183",22,"11","II","Yes",0.605209970474,"lcmd",1,"Index","Index"
"184",23,"11","II","No",0.580994129181,"lcmd",1,"Index","Middle"
"185",24,"11","II","No",0.552406978607,"lcmd",1,"Index","Middle"
"186",25,"11","II","No",0.39012093544,"lalt",1,"Middle","Index"
"187",26,"11","II","Yes",0.355231904983,"lalt",1,"Middle","Middle"
"188",27,"11","II","Yes",0.3968791008,"lcmd",1,"Index","Index"
"189",28,"11","II","No",0.431003046036,"lalt",1,"Middle","Index"
"190",29,"11","II","Yes",0.49528002739,"lcmd",1,"Index","Index"
"191",30,"11","II","No",0.458453083038,"lcmd",1,"Index","Middle"
"192",31,"11","II","Yes",0.483739089966,"lalt",1,"Middle","Middle"
"193",32,"11","II","No",0.532094812393,"lcmd",1,"Index","Middle"
"194",33,"11","II","No",0.346851015091,"lalt",1,"Middle","Index"
"195",34,"11","II","Yes",0.520909070969,"lcmd",1,"Index","Index"
"196",35,"11","II","Yes",0.387201976776,"lalt",1,"Middle","Middle"
"197",36,"11","II","Yes",0.338282966614,"lalt",1,"Middle","Middle"
"198",37,"11","II","Yes",0.363606023788,"lcmd",1,"Index","Index"
"199",38,"11","II","No",0.355555915832,"lcmd",1,"Index","Middle"
"200",39,"11","II","No",0.34356803894,"lalt",1,"Middle","Index"
"201",40,"11","II","Yes",0.480731153488,"lcmd",1,"Index","Index"
"202",41,"11","II","No",0.404260110855,"lalt",1,"Middle","Index"
"203",42,"11","II","Yes",0.500557994843,"lalt",1,"Middle","Middle"
"204",43,"11","II","No",0.520134067535,"lcmd",1,"Index","Middle"
"205",44,"11","II","Yes",0.417762088776,"lcmd",1,"Index","Index"
"206",45,"11","II","Yes",0.376045084,"lalt",1,"Middle","Middle"
"207",46,"11","II","No",0.540658903122,"lcmd",1,"Index","Middle"
"208",47,"11","II","No",0.395896148682,"lalt",1,"Middle","Index"
"209",48,"11","II","No",0.523959159851,"lcmd",1,"Index","Middle"
"210",49,"11","II","Yes",0.61407995224,"lcmd",1,"Index","Index"
"211",50,"11","II","Yes",0.428119087219,"lalt",1,"Middle","Middle"
"212",51,"11","II","No",0.638512086868,"lalt",1,"Middle","Index"
"213",52,"11","II","Yes",0.385656118393,"lcmd",1,"Index","Index"
"214",53,"11","II","No",0.473468160629,"lcmd",1,"Index","Middle"
"215",54,"11","II","Yes",0.520588064194,"lalt",1,"Middle","Middle"
"216",55,"11","II","No",0.579095983505,"lalt",1,"Middle","Index"
"217",56,"11","II","Yes",0.57675614357,"lalt",1,"Middle","Middle"
"218",57,"11","II","Yes",0.451817178726,"lcmd",1,"Index","Index"
"219",58,"11","II","No",0.424398088455,"lcmd",1,"Index","Middle"
"220",59,"11","II","No",0.471092176437,"lalt",1,"Middle","Index"
"221",60,"11","II","No",0.487928056717,"lcmd",1,"Index","Middle"
"222",61,"11","II","Yes",0.467592048645,"lcmd",1,"Index","Index"
"223",62,"11","II","No",0.390245008469,"lalt",1,"Middle","Index"
"224",63,"11","II","Yes",0.486247110367,"lalt",1,"Middle","Middle"
"225",64,"11","II","No",0.500995874405,"lcmd",1,"Index","Middle"
"226",65,"11","II","Yes",0.405493068695,"lcmd",1,"Index","Index"
"227",66,"11","II","Yes",0.441735029221,"lalt",1,"Middle","Middle"
"228",67,"11","II","No",0.338165092468,"lalt",1,"Middle","Index"
"229",68,"11","II","No",0.469910097122,"lalt",1,"Middle","Index"
"230",69,"11","II","No",0.472964191437,"lcmd",1,"Index","Middle"
"231",70,"11","II","Yes",0.463406801224,"lalt",1,"Middle","Middle"
"232",71,"11","II","Yes",0.397113847732,"lcmd",1,"Index","Index"
"233",72,"11","II","Yes",0.51862783432,"lcmd",1,"Index","Index"
"234",73,"11","II","No",0.6009370327,"lalt",1,"Middle","Index"
"235",74,"11","II","No",0.541329908371,"lcmd",1,"Index","Middle"
"236",75,"11","II","Yes",0.415494060516,"lalt",1,"Middle","Middle"
"237",76,"11","II","Yes",0.710906028748,"lalt",1,"Middle","Middle"
"238",77,"11","II","No",0.417623186111,"lalt",1,"Middle","Index"
"239",78,"11","II","No",0.448678922653,"lcmd",1,"Index","Middle"
"240",79,"11","II","Yes",0.519240808487,"lcmd",1,"Index","Index"
"241",0,"12","IT","Yes",-11.8052340031,"lalt",1,"Middle","Middle"
"242",1,"12","IT","Yes",0.493166971207,"lcmd",1,"Index","Index"
"243",2,"12","IT","No",0.429514884949,"lalt",1,"Middle","Index"
"244",3,"12","IT","No",0.570234870911,"lcmd",1,"Index","Middle"
"245",4,"12","IT","No",0.511541938782,"lalt",1,"Middle","Index"
"246",5,"12","IT","No",0.732920980454,"lcmd",1,"Index","Middle"
"247",6,"12","IT","Yes",0.476627063751,"lalt",1,"Middle","Middle"
"248",7,"12","IT","Yes",0.514590835571,"lcmd",1,"Index","Index"
"249",8,"12","IT","No",0.496834993362,"lcmd",1,"Index","Middle"
"250",9,"12","IT","Yes",0.424460983276,"lalt",1,"Middle","Middle"
"251",10,"12","IT","Yes",0.56075387001,"lcmd",1,"Index","Index"
"252",11,"12","IT","No",0.465808916092,"lalt",1,"Middle","Index"
"253",12,"12","IT","No",0.470874071121,"lalt",1,"Middle","Index"
"254",13,"12","IT","No",0.453535890579,"lcmd",1,"Index","Middle"
"255",14,"12","IT","Yes",0.510785913467,"lalt",1,"Middle","Middle"
"256",15,"12","IT","Yes",0.489460086823,"lcmd",1,"Index","Index"
"257",16,"12","IT","No",0.444134950638,"lalt",1,"Middle","Index"
"258",17,"12","IT","Yes",0.470944166183,"lcmd",1,"Index","Index"
"259",18,"12","IT","Yes",0.406889867783,"lalt",1,"Middle","Middle"
"260",19,"12","IT","No",0.406895065308,"lcmd",1,"Index","Middle"
"261",20,"12","IT","Yes",0.421157979965,"lalt",1,"Middle","Middle"
"262",21,"12","IT","Yes",0.519424057007,"lcmd",1,"Index","Index"
"263",22,"12","IT","No",0.489116001129,"lalt",1,"Middle","Index"
"264",23,"12","IT","No",0.461016082764,"lcmd",1,"Index","Middle"
"265",24,"12","IT","No",0.50994887352,"lcmd",1,"Index","Middle"
"266",25,"12","IT","Yes",0.447296094894,"lalt",1,"Middle","Middle"
"267",26,"12","IT","No",0.485746192932,"lalt",1,"Middle","Index"
"268",27,"12","IT","Yes",0.476381015778,"lcmd",1,"Index","Index"
"269",28,"12","IT","Yes",0.418773889542,"lcmd",1,"Index","Index"
"270",29,"12","IT","No",0.466472101212,"lcmd",1,"Index","Middle"
"271",30,"12","IT","No",0.392047119141,"lalt",1,"Middle","Index"
"272",31,"12","IT","Yes",0.409060049057,"lcmd",0,"Middle","Middle"
"273",32,"12","IT","No",0.535785150528,"lcmd",1,"Index","Middle"
"274",33,"12","IT","Yes",0.515188980102,"lcmd",1,"Index","Index"
"275",34,"12","IT","Yes",0.450520086288,"lalt",1,"Middle","Middle"
"276",35,"12","IT","No",0.517469072342,"lalt",1,"Middle","Index"
"277",36,"12","IT","No",0.540335941315,"lcmd",1,"Index","Middle"
"278",37,"12","IT","No",0.528491020203,"lalt",1,"Middle","Index"
