"Participant","V1","Condition","Congruity","Reaction_time","Response","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age","Item","RTlog"
2,20,"IT","Yes",0.365535163879,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-1.00639279681668
2,21,"IT","Yes",0.351389026642,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-1.04586133125799
2,23,"IT","No",0.450013065338,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.798478662554808
2,24,"IT","No",0.52830414772,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.638083123773218
2,25,"IT","No",0.506992053986,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.67925994812521
2,26,"IT","Yes",0.367031049728,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-1.00230883034281
2,27,"IT","Yes",0.443407011032,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.813267169944781
2,28,"IT","Yes",0.417891979218,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-0.872532302777783
2,30,"IT","No",0.503214931488,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.686737900967781
2,31,"IT","Yes",0.447834968567,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.803330488167798
2,32,"IT","Yes",0.390799045563,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-0.939561801081077
2,33,"IT","Yes",0.401926994324,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.911484813014715
2,34,"IT","No",0.511492776871,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.670421815154485
2,35,"IT","No",0.490406942368,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.71251973791874
2,36,"IT","No",0.43025894165,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.843368061654378
2,37,"IT","Yes",0.452105140686,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.793840514062746
2,38,"IT","Yes",0.462109947205,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-0.771952435250172
2,39,"IT","No",0.664272069931,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.409063469555812
2,40,"IT","Yes",0.484280872345,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-0.725090225820605
2,41,"IT","Yes",0.395676088333,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.927159361193502
2,42,"IT","No",0.410740041733,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.889794766465774
2,43,"IT","No",0.656316041946,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.421112834793415
2,44,"IT","Yes",0.413679122925,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-0.88266467107385
2,45,"IT","No",0.509243965149,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.674828074413775
2,46,"IT","No",0.571943092346,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.558715781457283
2,47,"IT","Yes",0.438093996048,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.825321788780273
2,48,"IT","Yes",0.452342128754,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.793316463448783
2,49,"IT","No",0.507016897202,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.679210948131717
2,50,"IT","No",0.52625617981,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.641967150947607
2,51,"IT","Yes",0.480744934082,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-0.732418432099709
2,52,"IT","No",0.370481872559,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.99295076240922
2,53,"IT","Yes",0.463139057159,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-0.769727930552478
2,54,"IT","Yes",0.408645057678,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.894908329359622
2,55,"IT","No",0.406626939774,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.899859123775161
2,56,"IT","No",0.356090974808,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-1.03256903356325
2,57,"IT","Yes",0.43787894249,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.825812793816752
2,58,"IT","Yes",0.364772987366,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-1.0084800713142
2,60,"IT","Yes",0.42751994133,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.849754345307266
2,61,"IT","No",0.419339895248,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.869073482067145
2,62,"IT","Yes",0.357174158096,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-1.02953177835275
2,64,"IT","Yes",0.456300878525,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.784602865727381
2,65,"IT","Yes",0.397453975678,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-0.92267613604915
2,67,"IT","No",0.456655931473,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.783825056827745
2,68,"IT","No",0.389796829224,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.942129626308102
2,69,"IT","Yes",0.446365022659,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-0.806618225243404
2,70,"IT","No",0.457482004166,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.782017730196493
2,71,"IT","Yes",0.426844978332,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.851334380074349
2,72,"IT","No",0.412039041519,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.886637173153701
