"Participant","V1","Condition","Reaction_time","Response","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age","Item","RTlog"
3,7,"II",0.557134103775,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.584949307216211
3,8,"II",0.45879907608,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.779142907504014
3,9,"II",0.510220003128,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.672913267598447
3,12,"II",0.467240858078,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.760910398214006
3,13,"II",0.534474945068,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.626470425073163
3,16,"II",0.444875001907,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.809961930865183
3,19,"II",0.469089126587,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.756962493223553
3,20,"II",0.467985010147,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.759319013177876
3,23,"II",0.901549196243,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.103640666288081
3,24,"II",0.463342094421,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.769289632881977
3,26,"II",0.461637926102,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.77297440489735
3,28,"II",0.498098087311,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.696958258880158
3,30,"II",0.461014080048,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.774326694048428
3,33,"II",0.456484079361,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.784201454996678
3,35,"II",0.480680942535,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.732551550104229
3,36,"II",0.529115867615,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.636547839699397
3,39,"II",0.490363073349,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.712609196238889
3,41,"II",0.521620082855,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.650815766704834
3,42,"II",0.445512056351,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.808530969921182
3,44,"II",0.49542183876,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.702345679814132
3,47,"II",0.42452788353,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.8567775898049
3,48,"II",0.480763149262,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.732380543328273
3,51,"II",0.466945886612,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.761541902519713
3,52,"II",0.505112123489,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.682974847640168
3,58,"II",0.488663911819,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.716080322697712
3,59,"II",0.434252023697,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.834130213659922
3,61,"II",0.5025639534,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.688032376699341
3,62,"II",0.476080942154,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.742167392664975
3,64,"II",0.515057945251,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.663475869597259
3,67,"II",0.50074300766,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.691662268268102
3,68,"II",0.613015174866,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.48936558826913
3,70,"II",0.517020845413,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.65967208533876
3,73,"II",0.569721078873,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.562608373227662
3,74,"II",0.531877040863,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.631342942551637
3,76,"II",0.583740091324,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.538299444320395
3,78,"II",0.51676697731,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.660163226949297
4,2,"IT",0.673577928543,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.395151583005637
4,6,"IT",0.620046806335,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.477960309703825
4,7,"IT",0.603539943695,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.504943053899088
4,9,"IT",0.443963003159,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.812014046240203
4,11,"IT",0.620394945145,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.477398995448278
4,13,"IT",0.563514137268,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.573562857497581
4,14,"IT",0.596024084091,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.517474203184573
4,16,"IT",0.627365970612,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.466225223440556
