"Participant","V1","Condition","Congruity","Response","Correctness","Cue","Finger","Item","Gender","Reaction_time","FS","EC","PT","PD","SS","Age"
9,12,"II","No","lcmd","1","Index","Middle","Index Middle","male",0.252608937205548,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,13,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",0.733772419991831,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,14,"II","Yes","lcmd","1","Index","Index","Index Index","male",0.323439143174243,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,15,"II","No","lalt","1","Middle","Index","Middle Index","male",1.83922757649206,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,16,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.155114456278463,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,17,"II","Yes","lcmd","1","Index","Index","Index Index","male",0.119331508211891,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,18,"II","No","lcmd","1","Index","Middle","Index Middle","male",0.0817685672501709,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,19,"II","No","lalt","1","Middle","Index","Middle Index","male",0.61188463309931,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,20,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",0.118758437404653,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,21,"II","No","lcmd","1","Index","Middle","Index Middle","male",0.297590846107961,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,22,"II","Yes","lcmd","1","Index","Index","Index Index","male",-0.516671445002497,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
