"Participant","V1","Condition","Congruity","Reaction_time","Response","Correctness","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age"
2,26,"IT","Yes",0.367031049728,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,27,"IT","Yes",0.443407011032,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,28,"IT","Yes",0.417891979218,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,29,"IT","No",0.439078903198,"lcmd",0,"Middle","Index",22,13,11,16,33,0,23
2,30,"IT","No",0.503214931488,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,31,"IT","Yes",0.447834968567,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,32,"IT","Yes",0.390799045563,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,33,"IT","Yes",0.401926994324,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,34,"IT","No",0.511492776871,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,35,"IT","No",0.490406942368,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,36,"IT","No",0.43025894165,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,37,"IT","Yes",0.452105140686,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,38,"IT","Yes",0.462109947205,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,39,"IT","No",0.664272069931,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,40,"IT","Yes",0.484280872345,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,41,"IT","Yes",0.395676088333,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,42,"IT","No",0.410740041733,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,43,"IT","No",0.656316041946,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,44,"IT","Yes",0.413679122925,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,45,"IT","No",0.509243965149,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,46,"IT","No",0.571943092346,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,47,"IT","Yes",0.438093996048,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,48,"IT","Yes",0.452342128754,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,49,"IT","No",0.507016897202,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,50,"IT","No",0.52625617981,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,51,"IT","Yes",0.480744934082,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,52,"IT","No",0.370481872559,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,53,"IT","Yes",0.463139057159,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,54,"IT","Yes",0.408645057678,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,55,"IT","No",0.406626939774,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,56,"IT","No",0.356090974808,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,57,"IT","Yes",0.43787894249,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,58,"IT","Yes",0.364772987366,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,59,"IT","No",0.411732149124,"lcmd",0,"Middle","Index",22,13,11,16,33,0,23
2,60,"IT","Yes",0.42751994133,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,61,"IT","No",0.419339895248,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,62,"IT","Yes",0.357174158096,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,63,"IT","No",0.388444852829,"lcmd",0,"Middle","Index",22,13,11,16,33,0,23
2,64,"IT","Yes",0.456300878525,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,65,"IT","Yes",0.397453975678,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,66,"IT","No",0.486080026627,"lcmd",0,"Middle","Index",22,13,11,16,33,0,23
2,67,"IT","No",0.456655931473,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,68,"IT","No",0.389796829224,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,69,"IT","Yes",0.446365022659,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,70,"IT","No",0.457482004166,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,71,"IT","Yes",0.426844978332,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,72,"IT","No",0.412039041519,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
2,73,"IT","No",0.44654917717,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,74,"IT","Yes",0.418120002747,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
2,75,"IT","Yes",0.318933868408,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,76,"IT","Yes",0.448922014236,"lcmd",1,"Index","Index",22,13,11,16,33,0,23
2,77,"IT","No",0.460109043121,"lalt",1,"Middle","Index",22,13,11,16,33,0,23
2,78,"IT","No",0.496307086945,"lcmd",1,"Index","Middle",22,13,11,16,33,0,23
