"V1","Participant","Condition","Congruity","Reaction_time","Response","Correctness","Cue","Finger"
12,"12","IT","No",0.470874071121,"lalt",1,"Middle","Index"
13,"12","IT","No",0.453535890579,"lcmd",1,"Index","Middle"
14,"12","IT","Yes",0.510785913467,"lalt",1,"Middle","Middle"
15,"12","IT","Yes",0.489460086823,"lcmd",1,"Index","Index"
16,"12","IT","No",0.444134950638,"lalt",1,"Middle","Index"
17,"12","IT","Yes",0.470944166183,"lcmd",1,"Index","Index"
18,"12","IT","Yes",0.406889867783,"lalt",1,"Middle","Middle"
19,"12","IT","No",0.406895065308,"lcmd",1,"Index","Middle"
20,"12","IT","Yes",0.421157979965,"lalt",1,"Middle","Middle"
21,"12","IT","Yes",0.519424057007,"lcmd",1,"Index","Index"
22,"12","IT","No",0.489116001129,"lalt",1,"Middle","Index"
23,"12","IT","No",0.461016082764,"lcmd",1,"Index","Middle"
24,"12","IT","No",0.50994887352,"lcmd",1,"Index","Middle"
25,"12","IT","Yes",0.447296094894,"lalt",1,"Middle","Middle"
26,"12","IT","No",0.485746192932,"lalt",1,"Middle","Index"
27,"12","IT","Yes",0.476381015778,"lcmd",1,"Index","Index"
28,"12","IT","Yes",0.418773889542,"lcmd",1,"Index","Index"
29,"12","IT","No",0.466472101212,"lcmd",1,"Index","Middle"
30,"12","IT","No",0.392047119141,"lalt",1,"Middle","Index"
31,"12","IT","Yes",0.409060049057,"lcmd",0,"Middle","Middle"
32,"12","IT","No",0.535785150528,"lcmd",1,"Index","Middle"
33,"12","IT","Yes",0.515188980102,"lcmd",1,"Index","Index"
34,"12","IT","Yes",0.450520086288,"lalt",1,"Middle","Middle"
35,"12","IT","No",0.517469072342,"lalt",1,"Middle","Index"
36,"12","IT","No",0.540335941315,"lcmd",1,"Index","Middle"
37,"12","IT","No",0.528491020203,"lalt",1,"Middle","Index"
38,"12","IT","Yes",0.514304971695,"lalt",1,"Middle","Middle"
39,"12","IT","Yes",0.415154933929,"lcmd",1,"Index","Index"
40,"12","IT","Yes",0.529552221298,"lcmd",1,"Index","Index"
41,"12","IT","No",0.563601207733,"lcmd",1,"Index","Middle"
42,"12","IT","Yes",0.426062011719,"lalt",1,"Middle","Middle"
43,"12","IT","No",0.512354803085,"lalt",1,"Middle","Index"
44,"12","IT","Yes",0.617863988876,"lcmd",1,"Index","Index"
45,"12","IT","No",0.483527851105,"lcmd",1,"Index","Middle"
46,"12","IT","No",0.496869850159,"lalt",1,"Middle","Index"
47,"12","IT","Yes",0.484337043762,"lalt",1,"Middle","Middle"
48,"12","IT","Yes",0.517033004761,"lalt",1,"Middle","Middle"
49,"12","IT","Yes",0.579361820221,"lcmd",1,"Index","Index"
50,"12","IT","No",0.505263853073,"lalt",1,"Middle","Index"
51,"12","IT","No",0.620429134369,"lcmd",1,"Index","Middle"
52,"12","IT","Yes",0.681256961823,"lcmd",1,"Index","Index"
53,"12","IT","No",0.51188416481,"lalt",1,"Middle","Index"
54,"12","IT","Yes",0.45449590683,"lalt",1,"Middle","Middle"
55,"12","IT","No",0.537848949432,"lcmd",1,"Index","Middle"
56,"12","IT","No",0.487100076675,"lcmd",1,"Index","Middle"
57,"12","IT","Yes",0.753266954422,"lcmd",1,"Index","Index"
58,"12","IT","No",0.48842291832,"lalt",1,"Middle","Index"
59,"12","IT","Yes",0.478906011581,"lalt",1,"Middle","Middle"
60,"12","IT","No",0.510929012299,"lcmd",1,"Index","Middle"
61,"12","IT","Yes",0.917764997482,"lcmd",1,"Index","Index"
62,"12","IT","No",0.498352146149,"lalt",1,"Middle","Index"
63,"12","IT","Yes",0.523259973526,"lalt",1,"Middle","Middle"
64,"12","IT","Yes",0.433715963364,"lcmd",1,"Index","Index"
65,"12","IT","Yes",0.390530014038,"lalt",1,"Middle","Middle"
66,"12","IT","No",0.562246894836,"lalt",1,"Middle","Index"
67,"12","IT","No",0.482395887375,"lalt",0,"Index","Middle"
68,"12","IT","Yes",0.587912034988,"lalt",1,"Middle","Middle"
69,"12","IT","No",0.523349952698,"lalt",1,"Middle","Index"
70,"12","IT","Yes",0.675294971466,"lcmd",1,"Index","Index"
71,"12","IT","No",0.582375097275,"lcmd",1,"Index","Middle"
72,"12","IT","No",0.586607885361,"lcmd",1,"Index","Middle"
73,"12","IT","Yes",0.53675198555,"lalt",1,"Middle","Middle"
74,"12","IT","Yes",0.538757896423,"lcmd",1,"Index","Index"
75,"12","IT","No",0.436298131943,"lalt",1,"Middle","Index"
76,"12","IT","Yes",0.513644838333,"lalt",1,"Middle","Middle"
77,"12","IT","No",0.550382089615,"lalt",1,"Middle","Index"
78,"12","IT","No",0.499681997299,"lcmd",1,"Index","Middle"
79,"12","IT","Yes",0.613021087647,"lcmd",1,"Index","Index"
0,"13","II","No",-22.2378119946,"lalt",1,"Middle","Index"
1,"13","II","No",0.623057079315,"lcmd",1,"Index","Middle"
2,"13","II","Yes",0.705060052872,"lalt",1,"Middle","Middle"
3,"13","II","Yes",0.57852191925,"lcmd",1,"Index","Index"
4,"13","II","No",0.685823106766,"lalt",1,"Middle","Index"
5,"13","II","Yes",0.652838993073,"lalt",1,"Middle","Middle"
6,"13","II","No",0.580761146545,"lcmd",1,"Index","Middle"
7,"13","II","Yes",0.716879987717,"lcmd",1,"Index","Index"
8,"13","II","Yes",0.588652992249,"lcmd",1,"Index","Index"
9,"13","II","Yes",0.638219928741,"lalt",1,"Middle","Middle"
10,"13","II","No",0.596857023239,"lcmd",1,"Index","Middle"
11,"13","II","No",0.547288036346,"lalt",1,"Middle","Index"
12,"13","II","Yes",0.541315078735,"lcmd",1,"Index","Index"
13,"13","II","No",0.504199934006,"lalt",1,"Middle","Index"
14,"13","II","No",0.551861095428,"lcmd",1,"Index","Middle"
15,"13","II","Yes",0.610864114761,"lalt",1,"Middle","Middle"
16,"13","II","Yes",0.612498950958,"lalt",1,"Middle","Middle"
17,"13","II","Yes",0.629450082779,"lcmd",1,"Index","Index"
18,"13","II","No",0.621162033081,"lalt",1,"Middle","Index"
19,"13","II","No",0.625674915314,"lcmd",1,"Index","Middle"
20,"13","II","No",0.613922071457,"lcmd",1,"Index","Middle"
21,"13","II","Yes",0.796385860443,"lalt",1,"Middle","Middle"
22,"13","II","Yes",0.563369894028,"lcmd",1,"Index","Index"
23,"13","II","No",0.703188085556,"lalt",1,"Middle","Index"
24,"13","II","Yes",0.682993078232,"lalt",1,"Middle","Middle"
25,"13","II","No",0.574042892456,"lcmd",1,"Index","Middle"
26,"13","II","No",0.587525081635,"lalt",1,"Middle","Index"
27,"13","II","Yes",0.735435914993,"lcmd",1,"Index","Index"
28,"13","II","No",0.627817821503,"lcmd",1,"Index","Middle"
29,"13","II","No",0.648611974716,"lalt",1,"Middle","Index"
30,"13","II","Yes",0.755972909927,"lalt",1,"Middle","Middle"
31,"13","II","Yes",0.653568935394,"lcmd",1,"Index","Index"
32,"13","II","No",0.731109952927,"lcmd",1,"Index","Middle"
33,"13","II","No",0.704507780075,"lalt",1,"Middle","Index"
34,"13","II","Yes",0.686321973801,"lalt",1,"Middle","Middle"
35,"13","II","Yes",0.538490009308,"lcmd",1,"Index","Index"
36,"13","II","Yes",0.582173109055,"lcmd",1,"Index","Index"
37,"13","II","No",0.687925052643,"lalt",1,"Middle","Index"
38,"13","II","Yes",0.676117992401,"lalt",1,"Middle","Middle"
39,"13","II","No",0.621941804886,"lcmd",1,"Index","Middle"
40,"13","II","Yes",0.639949989319,"lcmd",1,"Index","Index"
41,"13","II","No",0.680107975006,"lalt",1,"Middle","Index"
42,"13","II","Yes",0.641445112228,"lalt",1,"Middle","Middle"
43,"13","II","No",0.711890077591,"lcmd",1,"Index","Middle"
44,"13","II","Yes",0.56155500412,"lalt",1,"Middle","Middle"
45,"13","II","Yes",0.570909070969,"lcmd",1,"Index","Index"
46,"13","II","No",0.584560108185,"lcmd",1,"Index","Middle"
47,"13","II","No",0.609740066528,"lalt",1,"Middle","Index"
48,"13","II","Yes",0.636945056915,"lcmd",1,"Index","Index"
49,"13","II","No",0.579186105728,"lcmd",1,"Index","Middle"
50,"13","II","No",0.629687070847,"lalt",1,"Middle","Index"
51,"13","II","Yes",0.625579929352,"lalt",1,"Middle","Middle"
52,"13","II","No",0.639576053619,"lalt",1,"Middle","Index"
53,"13","II","No",0.724736070633,"lcmd",1,"Index","Middle"
54,"13","II","Yes",0.691097021103,"lalt",1,"Middle","Middle"
55,"13","II","Yes",0.67963385582,"lcmd",1,"Index","Index"
56,"13","II","Yes",0.716464042664,"lcmd",1,"Index","Index"
57,"13","II","No",0.606401109695,"lcmd",1,"Index","Middle"
58,"13","II","No",0.671506977081,"lalt",1,"Middle","Index"
59,"13","II","Yes",0.650514984131,"lalt",1,"Middle","Middle"
60,"13","II","No",0.597398996353,"lcmd",1,"Index","Middle"
61,"13","II","Yes",0.651866006851,"lcmd",1,"Index","Index"
62,"13","II","No",0.644777917862,"lalt",1,"Middle","Index"
63,"13","II","Yes",0.574229955673,"lalt",1,"Middle","Middle"
64,"13","II","No",0.605632162094,"lalt",1,"Middle","Index"
65,"13","II","Yes",0.6024559021,"lcmd",1,"Index","Index"
66,"13","II","No",0.588318872452,"lcmd",1,"Index","Middle"
67,"13","II","Yes",0.675524950027,"lalt",1,"Middle","Middle"
68,"13","II","Yes",0.624303102493,"lcmd",1,"Index","Index"
69,"13","II","No",0.587109184265,"lalt",1,"Middle","Index"
70,"13","II","No",0.650883960724,"lcmd",1,"Index","Middle"
71,"13","II","Yes",0.681996965408,"lalt",1,"Middle","Middle"
72,"13","II","Yes",0.556751203537,"lalt",1,"Middle","Middle"
73,"13","II","Yes",0.56654381752,"lcmd",1,"Index","Index"
74,"13","II","No",0.552138996124,"lcmd",1,"Index","Middle"
75,"13","II","No",0.453353977203,"lalt",1,"Middle","Index"
76,"13","II","No",0.569161939621,"lalt",1,"Middle","Index"
77,"13","II","Yes",0.578596067429,"lalt",1,"Middle","Middle"
78,"13","II","Yes",0.615997982025,"lcmd",1,"Index","Index"
79,"13","II","No",0.674258089066,"lcmd",1,"Index","Middle"
0,"14","IT","Yes",0.830207824707,"lcmd",1,"Index","Index"
1,"14","IT","No",0.489061975479,"lalt",1,"Middle","Index"
2,"14","IT","Yes",0.44244594574,"lalt",1,"Middle","Middle"
3,"14","IT","No",0.399852848053,"lcmd",1,"Index","Middle"
4,"14","IT","Yes",0.537699985504,"lcmd",0,"Middle","Middle"
5,"14","IT","No",0.490402173996,"lcmd",1,"Index","Middle"
6,"14","IT","Yes",0.543549060822,"lcmd",1,"Index","Index"
7,"14","IT","No",0.462207984924,"lalt",1,"Middle","Index"
8,"14","IT","Yes",0.512298154831,"lalt",1,"Middle","Middle"
